ICD,Flag,ICDString,CCSCode,CCSString
S96,10,Injury of muscle and tendon at ankle and foot level,232,Sprains and strains
S46,10,"Injury of muscle, fascia and tendon at shoulder and upper arm level",232,Sprains and strains
O89,10,Complications of anesthesia during the puerperium,195,Other complications of birth; puerperium affecting management of mother
O74,10,Complications of anesthesia during labor and delivery,195,Other complications of birth; puerperium affecting management of mother
O61,10,Failed induction of labor,195,Other complications of birth; puerperium affecting management of mother
O48,10,Late pregnancy,185,Prolonged pregnancy
B81,10,"Other intestinal helminthiases, not elsewhere classified",8,Other infections; including parasitic
B68,10,Taeniasis,8,Other infections; including parasitic
B77,10,Ascariasis,8,Other infections; including parasitic
B67,10,Echinococcosis,8,Other infections; including parasitic
B83,10,Other helminthiases,8,Other infections; including parasitic
B79,10,Trichuriasis,8,Other infections; including parasitic
B78,10,Strongyloidiasis,8,Other infections; including parasitic
B80,10,Enterobiasis,8,Other infections; including parasitic
B71,10,Other cestode infections,8,Other infections; including parasitic
B69,10,Cysticercosis,8,Other infections; including parasitic
B75,10,trichiniasis,8,Other infections; including parasitic
B70,10,Diphyllobothriasis and sparganosis,8,Other infections; including parasitic
C67,10,Malignant neoplasm of bladder,32,Cancer of bladder
O21,10,Excessive vomiting in pregnancy,181,Other complications of pregnancy
E31,10,Polyglandular dysfunction,51,Other endocrine disorders
E34,10,Other endocrine disorders,51,Other endocrine disorders
J30,10,Vasomotor and allergic rhinitis,134,Other upper respiratory disease
K28,10,Gastrojejunal ulcer,153,Gastrointestinal hemorrhage
K27,10,"Peptic ulcer, site unspecified",153,Gastrointestinal hemorrhage
L83,10,Acanthosis nigricans,200,Other skin disorders
B19,10,Unspecified viral hepatitis,6,Hepatitis
K42,10,Umbilical hernia,143,Abdominal hernia
Z11,10,Encounter for screening for infectious and parasitic diseases,10,Immunizations and screening for infectious disease
B45,10,Cryptococcosis,4,Mycoses
B43,10,Chromomycosis and pheomycotic abscess,4,Mycoses
B42,10,Sporotrichosis,4,Mycoses
B49,10,Unspecified mycosis,4,Mycoses
B46,10,Zygomycosis,4,Mycoses
D45,10,Polycythemia vera,44,Neoplasms of unspecified nature or uncertain behavior
M94,10,Other disorders of cartilage,212,Other bone disease and musculoskeletal deformities
T85,10,"Complications of other internal prosthetic devices, implants and grafts",237,Complication of device; implant or graft
Q81,10,Epidermolysis bullosa,217,Other congenital anomalies
Q69,10,Polydactyly,217,Other congenital anomalies
Q70,10,Syndactyly,217,Other congenital anomalies
F91,10,Conduct disorders,652,Attention-deficit
N31,10,"Neuromuscular dysfunction of bladder, not elsewhere classified",162,Other diseases of bladder and urethra
L41,10,Parapsoriasis,198,Other inflammatory condition of skin
Q66,10,Congenital deformities of feet,217,Other congenital anomalies
D72,10,Other disorders of white blood cells,63,Diseases of white blood cells
F03,10,Unspecified dementia,653,Delirium
R74,10,Abnormal serum enzyme levels,151,Other liver diseases
Q45,10,Other congenital malformations of digestive system,214,Digestive congenital anomalies
H81,10,Disorders of vestibular function,93,Conditions associated with dizziness or vertigo
D86,10,Sarcoidosis,57,Immunity disorders
L86,10,Keratoderma in diseases classified elsewhere,200,Other skin disorders
C08,10,Malignant neoplasm of other and unspecified major salivary glands,11,Cancer of head and neck
C07,10,Malignant neoplasm of parotid gland,11,Cancer of head and neck
D56,10,Thalassemia,59,Deficiency and other anemia
F05,10,Delirium due to known physiological condition,653,Delirium
O69,10,Labor and delivery complicated by umbilical cord complications,192,Umbilical cord complication
F89,10,Unspecified disorder of psychological development,654,Developmental disorders
F88,10,Other disorders of psychological development,654,Developmental disorders
F82,10,Specific developmental disorder of motor function,654,Developmental disorders
H54,10,Blindness and low vision,89,Blindness and vision defects
L82,10,Seborrheic keratosis,200,Other skin disorders
Z84,10,Family history of other conditions,259,Residual codes; unclassified
Z82,10,Family history of certain disabilities and chronic diseases (leading to disablement),259,Residual codes; unclassified
Z83,10,Family history of other specific disorders,259,Residual codes; unclassified
Z81,10,Family history of mental and behavioral disorders,259,Residual codes; unclassified
Z80,10,Family history of primary malignant neoplasm,259,Residual codes; unclassified
D22,10,Melanocytic nevi,47,Other and unspecified benign neoplasm
D23,10,Other benign neoplasms of skin,47,Other and unspecified benign neoplasm
J44,10,Other chronic obstructive pulmonary disease,127,Chronic obstructive pulmonary disease and bronchiectasis
K66,10,Other disorders of peritoneum,155,Other gastrointestinal disorders
R17,10,Unspecified jaundice,151,Other liver diseases
O08,10,Complications following ectopic and molar pregnancy,179,Postabortion complications
A34,10,Obstetrical tetanus,195,Other complications of birth; puerperium affecting management of mother
F07,10,Personality and behavioral disorders due to known physiological condition,653,Delirium
F09,10,Unspecified mental disorder due to known physiological condition,653,Delirium
H61,10,Other disorders of external ear,94,Other ear and sense organ disorders
Q83,10,Congenital malformations of breast,217,Other congenital anomalies
D55,10,Anemia due to enzyme disorders,59,Deficiency and other anemia
D58,10,Other hereditary hemolytic anemias,59,Deficiency and other anemia
G82,10,Paraplegia (paraparesis) and quadriplegia (quadriparesis),82,Paralysis
G83,10,Other paralytic syndromes,82,Paralysis
B59,10,Pneumocystosis,122,Pneumonia
J17,10,Pneumonia in diseases classified elsewhere,122,Pneumonia
K81,10,Cholecystitis,149,Biliary tract disease
F23,10,Brief psychotic disorder,659,Schizophrenia and other psychotic disorders
F24,10,Shared psychotic disorder,659,Schizophrenia and other psychotic disorders
F22,10,Delusional disorders,659,Schizophrenia and other psychotic disorders
I42,10,Cardiomyopathy,97,Peri-; endo-; and myocarditis; cardiomyopathy
J86,10,Pyothorax,130,Pleurisy; pneumothorax; pulmonary collapse
J93,10,Pneumothorax and air leak,130,Pleurisy; pneumothorax; pulmonary collapse
N70,10,Salpingitis and oophoritis,168,Inflammatory diseases of female pelvic organs
A20,10,Plague,3,Bacterial infection; unspecified site
A37,10,Whooping cough,3,Bacterial infection; unspecified site
A22,10,Anthrax,197,Skin and subcutaneous tissue infections
A42,10,Actinomycosis,3,Bacterial infection; unspecified site
A35,10,Other tetanus,3,Bacterial infection; unspecified site
A39,10,Meningococcal infection,76,Meningitis
A32,10,Listeriosis,3,Bacterial infection; unspecified site
A24,10,Glanders and melioidosis,3,Bacterial infection; unspecified site
A49,10,Bacterial infection of unspecified site,3,Bacterial infection; unspecified site
A21,10,Tularemia,197,Skin and subcutaneous tissue infections
A23,10,Brucellosis,3,Bacterial infection; unspecified site
A25,10,Rat-bite fevers,3,Bacterial infection; unspecified site
A36,10,Diphtheria,126,Other upper respiratory infections
D64,10,Other anemias,59,Deficiency and other anemia
L05,10,Pilonidal cyst and sinus,197,Skin and subcutaneous tissue infections
K29,10,Gastritis and duodenitis,140,Gastritis and duodenitis
L42,10,Pityriasis rosea,198,Other inflammatory condition of skin
G30,10,Alzheimers disease,653,Delirium
I11,10,Hypertensive heart disease,99,Hypertension with complications and secondary hypertension
D51,10,Vitamin B12 deficiency anemia,59,Deficiency and other anemia
L71,10,Rosacea,198,Other inflammatory condition of skin
R77,10,Other abnormalities of plasma proteins,64,Other hematologic conditions
Q00,10,Anencephaly and similar malformations,216,Nervous system congenital anomalies
Q01,10,Encephalocele,216,Nervous system congenital anomalies
C39,10,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,20,Cancer; other respiratory and intrathoracic
G51,10,Facial nerve disorders,95,Other nervous system disorders
O60,10,Preterm labor,184,Early or threatened labor
O82,10,Encounter for cesarean delivery without indication,195,Other complications of birth; puerperium affecting management of mother
O94,10,"Sequelae of complication of pregnancy, childbirth, and the puerperium",195,Other complications of birth; puerperium affecting management of mother
O73,10,"Retained placenta and membranes, without hemorrhage",195,Other complications of birth; puerperium affecting management of mother
Q12,10,Congenital lens malformations,217,Other congenital anomalies
H30,10,Chorioretinal inflammation,90,Inflammation; infection of eye
H20,10,Iridocyclitis,90,Inflammation; infection of eye
N87,10,Dysplasia of cervix uteri,175,Other female genital disorders
D06,10,Carcinoma in situ of cervix uteri,26,Cancer of cervix
N49,10,"Inflammatory disorders of male genital organs, not elsewhere classified",165,Inflammatory conditions of male genital organs
R99,10,Ill-defined and unknown cause of mortality,259,Residual codes; unclassified
R69,10,"Illness, unspecified",259,Residual codes; unclassified
R46,10,Symptoms and signs involving appearance and behavior,652,Attention-deficit
K43,10,Ventral hernia,143,Abdominal hernia
L81,10,Other disorders of pigmentation,200,Other skin disorders
G57,10,Mononeuropathies of lower limb,95,Other nervous system disorders
G59,10,Mononeuropathy in diseases classified elsewhere,95,Other nervous system disorders
G56,10,Mononeuropathies of upper limb,95,Other nervous system disorders
N86,10,Erosion and ectropion of cervix uteri,175,Other female genital disorders
G90,10,Disorders of autonomic nervous system,81,Other hereditary and degenerative nervous system conditions
H66,10,Suppurative and unspecified otitis media,92,Otitis media and related conditions
H67,10,Otitis media in diseases classified elsewhere,92,Otitis media and related conditions
H80,10,Otosclerosis,92,Otitis media and related conditions
D66,10,Hereditary factor VIII deficiency,62,Coagulation and hemorrhagic disorders
B02,10,Zoster [herpes zoster],77,Encephalitis
G54,10,Nerve root and plexus disorders,95,Other nervous system disorders
G55,10,Nerve root and plexus compressions in diseases classified elsewhere,95,Other nervous system disorders
I32,10,Pericarditis in diseases classified elsewhere,97,Peri-; endo-; and myocarditis; cardiomyopathy
I30,10,Acute pericarditis,97,Peri-; endo-; and myocarditis; cardiomyopathy
J33,10,Nasal polyp,134,Other upper respiratory disease
C69,10,Malignant neoplasm of eye and adnexa,41,Cancer; other and unspecified primary
H71,10,Cholesteatoma of middle ear,94,Other ear and sense organ disorders
N63,10,Unspecified lump in breast,167,Nonmalignant breast conditions
O24,10,"Diabetes mellitus in pregnancy, childbirth, and the puerperium",186,Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium
M12,10,Other and unspecified arthropathy,202,Rheumatoid arthritis and related disease
I95,10,Hypotension,117,Other circulatory disease
H26,10,Other cataract,86,Cataract
H28,10,Cataract in diseases classified elsewhere,86,Cataract
G47,10,Sleep disorders,259,Residual codes; unclassified
P59,10,Neonatal jaundice from other and unspecified causes,222,Hemolytic jaundice and perinatal jaundice
P58,10,Neonatal jaundice due to other excessive hemolysis,222,Hemolytic jaundice and perinatal jaundice
Q21,10,Congenital malformations of cardiac septa,213,Cardiac and circulatory congenital anomalies
E13,10,Other specified diabetes mellitus,50,Diabetes mellitus with complications
I43,10,Cardiomyopathy in diseases classified elsewhere,97,Peri-; endo-; and myocarditis; cardiomyopathy
R75,10,Inconclusive laboratory evidence of human immunodeficiency virus [HIV],5,HIV infection
C41,10,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,21,Cancer of bone and connective tissue
C40,10,Malignant neoplasm of bone and articular cartilage of limbs,21,Cancer of bone and connective tissue
C46,10,Kaposis sarcoma,41,Cancer; other and unspecified primary
B07,10,Viral warts,7,Viral infection
R18,10,Ascites,42,Secondary malignancies
I85,10,Esophageal varices,138,Esophageal disorders
Z89,10,Acquired absence of limb,212,Other bone disease and musculoskeletal deformities
D81,10,Combined immunodeficiencies,57,Immunity disorders
L93,10,Lupus erythematosus,198,Other inflammatory condition of skin
B52,10,Plasmodium malariae malaria,8,Other infections; including parasitic
B56,10,African trypanosomiasis,8,Other infections; including parasitic
B53,10,Other specified malaria,8,Other infections; including parasitic
B55,10,Leishmaniasis,8,Other infections; including parasitic
B50,10,Plasmodium falciparum malaria,8,Other infections; including parasitic
B54,10,Unspecified malaria,8,Other infections; including parasitic
B51,10,Plasmodium vivax malaria,8,Other infections; including parasitic
B57,10,Chagas disease,8,Other infections; including parasitic
A44,10,Bartonellosis,3,Bacterial infection; unspecified site
A75,10,Typhus fever,8,Other infections; including parasitic
F53,10,Puerperal psychosis,670,Miscellaneous mental health disorders
M34,10,Systemic sclerosis [scleroderma],210,Systemic lupus erythematosus and connective tissue disorders
M21,10,Other acquired deformities of limbs,209,Other acquired deformities
G60,10,Hereditary and idiopathic neuropathy,95,Other nervous system disorders
H40,10,Glaucoma,88,Glaucoma
H42,10,Glaucoma in diseases classified elsewhere,88,Glaucoma
R71,10,Abnormality of red blood cells,64,Other hematologic conditions
D74,10,Methemoglobinemia,64,Other hematologic conditions
T56,10,Toxic effect of metals,243,Poisoning by nonmedicinal substances
K14,10,Diseases of tongue,137,Diseases of mouth; excluding dental
Z12,10,Encounter for screening for malignant neoplasms,258,Other screening for suspected conditions
K37,10,Unspecified appendicitis,142,Appendicitis and other appendiceal conditions
K36,10,Other appendicitis,142,Appendicitis and other appendiceal conditions
C64,10,"Malignant neoplasm of kidney, except renal pelvis",33,Cancer of kidney and renal pelvis
C77,10,Secondary and unspecified malignant neoplasm of lymph nodes,42,Secondary malignancies
H70,10,Mastoiditis and related conditions,92,Otitis media and related conditions
H75,10,Other disorders of middle ear and mastoid in diseases classified elsewhere,92,Otitis media and related conditions
E55,10,Vitamin D deficiency,52,Nutritional deficiencies
Q56,10,Indeterminate sex and pseudohermaphroditism,215,Genitourinary congenital anomalies
B41,10,Paracoccidioidomycosis,4,Mycoses
B40,10,Blastomycosis,4,Mycoses
L51,10,Erythema multiforme,198,Other inflammatory condition of skin
C57,10,Malignant neoplasm of other and unspecified female genital organs,28,Cancer of other female genital organs
C58,10,Malignant neoplasm of placenta,28,Cancer of other female genital organs
N21,10,Calculus of lower urinary tract,160,Calculus of urinary tract
T62,10,Toxic effect of other noxious substances eaten as food,243,Poisoning by nonmedicinal substances
T61,10,Toxic effect of noxious substances eaten as seafood,243,Poisoning by nonmedicinal substances
R06,10,Abnormalities of breathing,133,Other lower respiratory disease
O87,10,Venous complications and hemorrhoids in the puerperium,195,Other complications of birth; puerperium affecting management of mother
O22,10,Venous complications and hemorrhoids in pregnancy,181,Other complications of pregnancy
L88,10,Pyoderma gangrenosum,197,Skin and subcutaneous tissue infections
E83,10,Disorders of mineral metabolism,58,Other nutritional; endocrine; and metabolic disorders
I96,10,"Gangrene, not elsewhere classified",248,Gangrene
B36,10,Other superficial mycoses,4,Mycoses
P90,10,Convulsions of newborn,224,Other perinatal conditions
O28,10,Abnormal findings on antenatal screening of mother,181,Other complications of pregnancy
P95,10,Stillbirth,224,Other perinatal conditions
P23,10,Congenital pneumonia,224,Other perinatal conditions
P93,10,Reactions and intoxications due to drugs administered to newborn,224,Other perinatal conditions
P09,10,Abnormal findings on neonatal screening,224,Other perinatal conditions
Q26,10,Congenital malformations of great veins,213,Cardiac and circulatory congenital anomalies
Q25,10,Congenital malformations of great arteries,213,Cardiac and circulatory congenital anomalies
F42,10,Obsessive-compulsive disorder,651,Anxiety disorders
Q51,10,Congenital malformations of uterus and cervix,215,Genitourinary congenital anomalies
R84,10,Abnormal findings in specimens from respiratory organs and thorax,258,Other screening for suspected conditions
R34,10,Anuria and oliguria,163,Genitourinary symptoms and ill-defined conditions
N72,10,Inflammatory disease of cervix uteri,168,Inflammatory diseases of female pelvic organs
L45,10,Papulosquamous disorders in diseases classified elsewhere,198,Other inflammatory condition of skin
L99,10,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,200,Other skin disorders
D26,10,Other benign neoplasms of uterus,46,Benign neoplasm of uterus
T66,10,"Radiation sickness, unspecified",244,Other injuries and conditions due to external causes
D68,10,Other coagulation defects,62,Coagulation and hemorrhagic disorders
I63,10,Cerebral infarction,109,Acute cerebrovascular disease
I66,10,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",109,Acute cerebrovascular disease
O01,10,Hydatidiform mole,181,Other complications of pregnancy
F02,10,Dementia in other diseases classified elsewhere,653,Delirium
R52,10,"Pain, unspecified",259,Residual codes; unclassified
I83,10,Varicose veins of lower extremities,119,Varicose veins of lower extremity
C13,10,Malignant neoplasm of hypopharynx,11,Cancer of head and neck
C12,10,Malignant neoplasm of pyriform sinus,11,Cancer of head and neck
D3A,10,Benign neuroendocrine tumors,47,Other and unspecified benign neoplasm
L52,10,Erythema nodosum,198,Other inflammatory condition of skin
E42,10,Marasmic kwashiorkor,52,Nutritional deficiencies
E40,10,Kwashiorkor,52,Nutritional deficiencies
F40,10,Phobic anxiety disorders,651,Anxiety disorders
D30,10,Benign neoplasm of urinary organs,47,Other and unspecified benign neoplasm
M60,10,Myositis,211,Other connective tissue disease
H82,10,Vertiginous syndromes in diseases classified elsewhere,93,Conditions associated with dizziness or vertigo
R64,10,Cachexia,52,Nutritional deficiencies
R49,10,Voice and resonance disorders,134,Other upper respiratory disease
N08,10,Glomerular disorders in diseases classified elsewhere,156,Nephritis; nephrosis; renal sclerosis
I72,10,Other aneurysm,115,Aortic; peripheral; and visceral artery aneurysms
R13,10,Aphagia and dysphagia,155,Other gastrointestinal disorders
C32,10,Malignant neoplasm of larynx,11,Cancer of head and neck
R85,10,Abnormal findings in specimens from digestive organs and abdominal cavity,258,Other screening for suspected conditions
K11,10,Diseases of salivary glands,137,Diseases of mouth; excluding dental
O20,10,Hemorrhage in early pregnancy,182,Hemorrhage during pregnancy; abruptio placenta; placenta previa
H31,10,Other disorders of choroid,91,Other eye disorders
H32,10,Chorioretinal disorders in diseases classified elsewhere,91,Other eye disorders
D65,10,Disseminated intravascular coagulation [defibrination syndrome],62,Coagulation and hemorrhagic disorders
H16,10,Keratitis,90,Inflammation; infection of eye
D24,10,Benign neoplasm of breast,47,Other and unspecified benign neoplasm
S11,10,Open wound of neck,235,Open wounds of head; neck; and trunk
E41,10,Nutritional marasmus,52,Nutritional deficiencies
K30,10,Functional dyspepsia,141,Other disorders of stomach and duodenum
P13,10,Birth injury to skeleton,223,Birth trauma
P14,10,Birth injury to peripheral nervous system,223,Birth trauma
P12,10,Birth injury to scalp,223,Birth trauma
P11,10,Other birth injuries to central nervous system,223,Birth trauma
O70,10,Perineal laceration during delivery,193,OB-related trauma to perineum and vulva
O71,10,Other obstetric trauma,195,Other complications of birth; puerperium affecting management of mother
P15,10,Other birth injuries,223,Birth trauma
F71,10,Moderate intellectual disabilities,654,Developmental disorders
F70,10,Mild intellectual disabilities,654,Developmental disorders
F79,10,Unspecified intellectual disabilities,654,Developmental disorders
F78,10,Other intellectual disabilities,654,Developmental disorders
F73,10,Profound intellectual disabilities,654,Developmental disorders
F72,10,Severe intellectual disabilities,654,Developmental disorders
G11,10,Hereditary ataxia,81,Other hereditary and degenerative nervous system conditions
N80,10,Endometriosis,169,Endometriosis
J18,10,"Pneumonia, unspecified organism",122,Pneumonia
L80,10,Vitiligo,200,Other skin disorders
L28,10,Lichen simplex chronicus and prurigo,198,Other inflammatory condition of skin
L43,10,Lichen planus,198,Other inflammatory condition of skin
D12,10,"Benign neoplasm of colon, rectum, anus and anal canal",47,Other and unspecified benign neoplasm
I70,10,Atherosclerosis,114,Peripheral and visceral atherosclerosis
C00,10,Malignant neoplasm of lip,11,Cancer of head and neck
A89,10,Unspecified viral infection of central nervous system,77,Encephalitis
A84,10,Tick-borne viral encephalitis,77,Encephalitis
G04,10,"Encephalitis, myelitis and encephalomyelitis",77,Encephalitis
A86,10,Unspecified viral encephalitis,77,Encephalitis
A85,10,"Other viral encephalitis, not elsewhere classified",77,Encephalitis
G05,10,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",77,Encephalitis
A83,10,Mosquito-borne viral encephalitis,77,Encephalitis
I36,10,Nonrheumatic tricuspid valve disorders,96,Heart valve disorders
K63,10,Other diseases of intestine,148,Peritonitis and intestinal abscess
K55,10,Vascular disorders of intestine,114,Peripheral and visceral atherosclerosis
P57,10,Kernicterus,222,Hemolytic jaundice and perinatal jaundice
P56,10,Hydrops fetalis due to hemolytic disease,222,Hemolytic jaundice and perinatal jaundice
P55,10,Hemolytic disease of newborn,222,Hemolytic jaundice and perinatal jaundice
J32,10,Chronic sinusitis,126,Other upper respiratory infections
J11,10,Influenza due to unidentified influenza virus,123,Influenza
J10,10,Influenza due to other identified influenza virus,123,Influenza
J09,10,Influenza due to certain identified influenza viruses,123,Influenza
K23,10,Disorders of esophagus in diseases classified elsewhere,138,Esophageal disorders
Q41,10,"Congenital absence, atresia and stenosis of small intestine",214,Digestive congenital anomalies
Q42,10,"Congenital absence, atresia and stenosis of large intestine",214,Digestive congenital anomalies
Q43,10,Other congenital malformations of intestine,214,Digestive congenital anomalies
C48,10,Malignant neoplasm of retroperitoneum and peritoneum,18,Cancer of other GI organs; peritoneum
F10,10,Alcohol related disorders,660,Alcohol-related disorders
P37,10,Other congenital infectious and parasitic diseases,224,Other perinatal conditions
P36,10,Bacterial sepsis of newborn,2,Septicemia (except in labor)
P39,10,Other infections specific to the perinatal period,224,Other perinatal conditions
P38,10,Omphalitis of newborn,224,Other perinatal conditions
A33,10,Tetanus neonatorum,224,Other perinatal conditions
P35,10,Congenital viral diseases,224,Other perinatal conditions
I15,10,Secondary hypertension,99,Hypertension with complications and secondary hypertension
I16,10,Hypertensive crisis,99,Hypertension with complications and secondary hypertension
M30,10,Polyarteritis nodosa and related conditions,210,Systemic lupus erythematosus and connective tissue disorders
E79,10,Disorders of purine and pyrimidine metabolism,58,Other nutritional; endocrine; and metabolic disorders
N22,10,Calculus of urinary tract in diseases classified elsewhere,160,Calculus of urinary tract
N20,10,Calculus of kidney and ureter,160,Calculus of urinary tract
O32,10,Maternal care for malpresentation of fetus,187,Malposition; malpresentation
O64,10,Obstructed labor due to malposition and malpresentation of fetus,187,Malposition; malpresentation
N01,10,Rapidly progressive nephritic syndrome,156,Nephritis; nephrosis; renal sclerosis
M95,10,Other acquired deformities of musculoskeletal system and connective tissue,209,Other acquired deformities
D59,10,Acquired hemolytic anemia,59,Deficiency and other anemia
R80,10,Proteinuria,163,Genitourinary symptoms and ill-defined conditions
D69,10,Purpura and other hemorrhagic conditions,62,Coagulation and hemorrhagic disorders
R58,10,"Hemorrhage, not elsewhere classified",117,Other circulatory disease
L62,10,Nail disorders in diseases classified elsewhere,200,Other skin disorders
L60,10,Nail disorders,200,Other skin disorders
I13,10,Hypertensive heart and chronic kidney disease,99,Hypertension with complications and secondary hypertension
T54,10,Toxic effect of corrosive substances,243,Poisoning by nonmedicinal substances
K80,10,Cholelithiasis,149,Biliary tract disease
M63,10,Disorders of muscle in diseases classified elsewhere,211,Other connective tissue disease
C74,10,Malignant neoplasm of adrenal gland,41,Cancer; other and unspecified primary
C75,10,Malignant neoplasm of other endocrine glands and related structures,41,Cancer; other and unspecified primary
I12,10,Hypertensive chronic kidney disease,99,Hypertension with complications and secondary hypertension
L27,10,Dermatitis due to substances taken internally,253,Allergic reactions
L25,10,Unspecified contact dermatitis,253,Allergic reactions
L24,10,Irritant contact dermatitis,253,Allergic reactions
L23,10,Allergic contact dermatitis,253,Allergic reactions
L20,10,Atopic dermatitis,253,Allergic reactions
F45,10,Somatoform disorders,670,Miscellaneous mental health disorders
K95,10,Complications of bariatric procedures,238,Complications of surgical procedures or medical care
N04,10,Nephrotic syndrome,156,Nephritis; nephrosis; renal sclerosis
N11,10,Chronic tubulo-interstitial nephritis,159,Urinary tract infections
