ICD,Flag,ICDString,CCSCode,CCSString,CCSParentCategory,CCSParentString,CCSChildCategory,CCSChildString,CCSParentCategory,CCSParentString,CCSChildCategory,CCSChildString,CCSParentCategory,CCSParentString,CCSChildCategory,CCSChildString
024,9,Glanders,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
025,9,Melioidosis,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
026,9,Rat-bite fever,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
027,9,Other zoonotic bacterial diseases,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
030,9,Leprosy,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
031,9,Diseases due to other mycobacteria,122,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections
032,9,Diphtheria,126,Other upper respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections
033,9,Whooping cough,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
034,9,Streptococcal sore throat and scarlet fever,126,Other upper respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections
035,9,Erysipelas,197,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections
036,9,Meningococcal infection,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
037,9,Tetanus,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
038,9,Septicemia,2,Septicemia (except in labor),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
039,9,Actinomycotic infections,197,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections,12,Diseases of the skin and subcutaneous tissue,12.1,Skin and subcutaneous tissue infections
040,9,Other bacterial diseases,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
041,9,Bacterial infection in conditions classified elsewhere and of unspecified site,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
042,9,Human immunodeficiency virus [HIV] disease,5,HIV infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
043,9,HIV causing other specified conditions,5,HIV infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
044,9,Other human immunodeficiency virus (HIV) infection,5,HIV infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
045,9,Acute poliomyelitis,78,Other CNS infection and poliomyelitis,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
046,9,Slow virus infections and prion diseases of central nervous system,78,Other CNS infection and poliomyelitis,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
047,9,Meningitis due to enterovirus,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
048,9,Other enterovirus diseases of central nervous system,78,Other CNS infection and poliomyelitis,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
049,9,Other non-arthropod-borne viral diseases of central nervous system,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
050,9,Smallpox,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
051,9,Cowpox and paravaccinia,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
052,9,Chickenpox,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
053,9,Herpes zoster,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
054,9,Herpes simplex,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
055,9,Measles,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
056,9,Rubella,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
057,9,Other viral exanthemata,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
058,9,Other human herpesvirus,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
059,9,Other poxvirus infections,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
060,9,Yellow fever,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
061,9,Dengue,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
062,9,Mosquito-borne viral encephalitis,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
063,9,Tick-borne viral encephalitis,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
064,9,Viral encephalitis transmitted by other and unspecified arthropods,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
065,9,Arthropod-borne hemorrhagic fever,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
066,9,Other arthropod-borne viral diseases,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
070,9,Viral hepatitis,6,Hepatitis,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
071,9,Rabies,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
072,9,Mumps,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
073,9,Ornithosis,122,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections
074,9,Specific diseases due to Coxsackie virus,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
075,9,Infectious mononucleosis,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
076,9,Trachoma,90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),6,Diseases of the nervous system and sense organs,6.7,Eye disorders,6,Diseases of the nervous system and sense organs,6.7,Eye disorders,6,Diseases of the nervous system and sense organs,6.7,Eye disorders
077,9,Other diseases of conjunctiva due to viruses and Chlamydiae,90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),6,Diseases of the nervous system and sense organs,6.7,Eye disorders,6,Diseases of the nervous system and sense organs,6.7,Eye disorders,6,Diseases of the nervous system and sense organs,6.7,Eye disorders
078,9,Other diseases due to viruses and Chlamydiae,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
079,9,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,7,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection,1,Infectious and parasitic diseases,1.3,Viral infection
080,9,Louse-borne [epidemic] typhus,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
081,9,Other typhus,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
082,9,Tick-borne rickettsioses,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
083,9,Other rickettsioses,122,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections
084,9,Malaria,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
085,9,Leishmaniasis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
086,9,Trypanosomiasis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
087,9,Relapsing fever,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
088,9,Other arthropod-borne diseases,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
090,9,Congenital syphilis,9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
091,9,"Early syphilis, symptomatic",9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
092,9,"Early syphilis, latent",9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
093,9,Cardiovascular syphilis,9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
094,9,Neurosyphilis,9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
095,9,"Other forms of late syphilis, with symptoms",9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
096,9,Late syphilis latent,9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
097,9,Other and unspecified syphilis,9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
098,9,Gonococcal infections,9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
099,9,Other venereal diseases,9,Sexually transmitted infections (not HIV or hepatitis),1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection,1,Infectious and parasitic diseases,1.1,Bacterial infection
100,9,Leptospirosis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
101,9,Vincents angina,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
102,9,Yaws,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
103,9,Pinta,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
104,9,Other spirochetal infection,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
110,9,Dermatophytosis,4,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses
111,9,"Dermatomycosis, other and unspecified",4,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses
112,9,Candidiasis,4,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses
114,9,Coccidioidomycosis,122,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections,8,Diseases of the respiratory system,8.1,Respiratory infections
115,9,Histoplasmosis,4,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses
116,9,Blastomycotic infection,4,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses
117,9,Other mycoses,4,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses
118,9,Opportunistic mycoses,4,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses,1,Infectious and parasitic diseases,1.2,Mycoses
120,9,Schistosomiasis [bilharziasis],8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
121,9,Other trematode infections,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
122,9,Echinococcosis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
123,9,Other cestode infection,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
124,9,Trichinosis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
125,9,Filarial infection and dracontiasis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
126,9,Ancylostomiasis and necatoriasis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
127,9,Other intestinal helminthiases,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
128,9,Other and unspecified helminthiases,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
129,9,"Intestinal parasitism, unspecified",8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
130,9,Toxoplasmosis,77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection,6,Diseases of the nervous system and sense organs,6.1,Central nervous system infection
131,9,Trichomoniasis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
132,9,Pediculosis and phthirus infestation,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
133,9,Acariasis,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
134,9,Other infestation,8,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic,1,Infectious and parasitic diseases,1.4,Other infections; including parasitic
